identificacion|nombre|edad|altura_cm|peso_lb|sexo|salario|ciudad|fecha_registro|nivel_educacion|email
1804126140001|Nicole Ortega Benítez|33.0|163.6|132.9|f|741.47|Ambato|Dec 05, 2025|Tecnico|nicole.ortega.benitez@outlook.com
1858707696| María Mendoza Peña |34.0|187.6|195.1|M|526.06|Ambato|21/04/2025|Universidad|
1838155123|  Natalia Arévalo Romero |33.0|183.2|175.8|M|1487.98|Ambato|31/07/2023|Universidad| .natalia.arevalo.romero@hotmail.com 
1810603991|DIEGO JIMÉNEZ HERRERA|39.0|186.6|190.6|M|480.0|Ambato|2024-01-10|Universidad|diego.jimenez.herrera@outlook.com
1801882406|Luis Villamar Bravo|27.0|157.9|127.5|f|1474.39|Ambato|01/01/2026|Secundaria|
1816179079001| Vanessa Suárez Reyes ||165.8|153.7|f|705.8|Ambato|2025-10-06|Secundaria|vanessa.suarez.reyes@empresa.ec
1824771016|nicole  romero  chávez|55.0|173.8|173.0|F|480.0|Ambato|2023-12-16|Universidad|nicole.romero.chavez@outlook.com
1833744756001|ALEJANDRO VILLAMAR ROJAS|33.0|183.5|169.7|m|1381.02|Ambato|11/05/2025|Secundaria|alejandro.villamar.rojas@outlook.com
1852386711|Ana Arévalo Navarro|40.0|170.8|155.4|F|778.47|Ambato|2023-05-08|Secundaria|
1840183378001| Natalia Quintero Benítez|45.0|175.4|177.7|M|516.53|Ambato|2024-05-25|Primaria|.natalia.quintero.benitez@outlook.com
1835703404|maría paredes alvarado|31.0|172.5|159.8|f|563.82|Ambato||Universidad|
1822888036|Tatiana Delgado Loor|42.0|176.2|204.5|m|480.0|Ambato|2026-01-08|Secundaria|tatiana.delgado.loor@outlook.com
1814312524|Isabela Chávez Paredes|35.0|166.8|144.7|f|564.14|Ambato||Universidad|
1840172371|Andrés  Reyes  Guerrero|31.0|167.9|153.0|m|578.41|Ambato|Jul 28, 2025|Universidad|ANDRES.REYES.GUERRERO@YAHOO.COM
1828825941|miguel castro solís|35.0|167.7|149.7|F|633.33|Ambato|23/01/2025|Secundaria|MIGUEL.CASTRO.SOLIS@HOTMAIL.COM
1826159178|Diana Torres Torres|31.0|163.5|152.1|M|776.98|Ambato|28/05/2024|Tecnico|
1821299391001| VALERIA ROJAS SUÁREZ |35.0|165.0|132.1|F|1341.8|Ambato|Sep 06, 2023|Maestria|valeria.rojas.suarez@outlook.com
1813983945|gabriela carrillo suárez|35.0|175.9|171.8|m|1171.21|Ambato|2023-10-08|Secundaria|
1818131425001| Tatiana Mendoza Moreno |29.0|167.4|149.0|F|719.58|Ambato|2023-06-29|Universidad|
1804843686|TATIANA VALENCIA ROJAS|42.0|177.0|192.1|M|503.33|Ambato|10/04/2023|Primaria|tatiana.valencia.rojas@hotmail.com
1800239103|isabela jiménez bravo|43.0|173.4|176.4|m|2453.79|Ambato|Jul 13, 2024|Secundaria|isabela.jimenez.bravo@hotmail.com
1849678600|Carlos Vera Solís|36.0|174.3|154.4|f|801.62|Ambato|2024-10-03|Secundaria|
1853856837|SOFÍA ALVARADO ORTEGA|36.0|159.0|125.4|F|1061.78|Ambato|2025-10-31|Universidad|sofia.alvarado.ortega@yahoo.com
1834105122001|Esteban Chávez Torres|43.0|182.0|166.5|m|480.0|Ambato|2025-11-18|Universidad|
1850929280| CRISTIAN ALVARADO CORNEJO |41.0|182.8|194.9|M|635.96|Ambato|2023-07-08|Secundaria|
1831029770|carlos alvarado molina|38.0|183.2|196.9|m|687.55|Ambato|2025-12-27|Universidad|
1837340254|Carlos Mera García|38.0|166.8|150.8|f|664.27|Ambato|2025-07-05|Universidad|
1822636443|María Acosta Delgado|39.0|173.5|147.3|m|480.0|Ambato|2025-09-30|Tecnico|MARIA.ACOSTA.DELGADO@GMAIL.COM
1814814347001| Natalia Espinoza Suárez|45.0|172.9|165.5|M|480.0|Ambato||Universidad|
1817922014|CAMILA MORENO CORNEJO|41.0|176.8|157.8|M|480.0|Ambato|Jul 26, 2025|Secundaria|
1816616534|ANA ZAMBRANO CASTRO|34.0|171.6|161.5|F|548.91|Ambato|2025-01-20|Secundaria|
1828825867|Pedro  Carrillo  Villamar|44.0|164.5|123.8|F|480.0|Ambato|2025-10-05|Tecnico|pedro.carrillo.villamar@hotmail.com
1822858179|CAMILA CASTRO MERA|31.0|161.4|136.4|f|851.84|Ambato|2023-10-23|Secundaria|camila.castro.mera@yahoo.com
1819290543|Samuel Sanchez Sanchez|36.0|161.9|137.0|F|661.93|Ambato|25/08/2025|Tecnico|
1851589273|Elena Peña Rojas|28.0|167.8|165.8|M|480.0|Ambato|2024-07-11|Secundaria|elena.pena.rojas@yahoo.com
1820623971001| NATALIA ACOSTA SALAZAR|37.0|179.3|194.0|m|489.89|Ambato|2025-03-19|Secundaria|.natalia.acosta.salazar@hotmail.com
1807998081|ESTEBAN ALVARADO PAREDES|40.0|157.5|121.8|M|851.75|Ambato|2025-10-14|Universidad|
1826274902|Esteban Valencia García|34.0|166.8|135.5|F|480.0|Ambato|2023-08-02|Universidad|esteban.valencia.garcia@yahoo.com
1811391430001|Andrés Loor Jiménez|38.0|180.7|188.8|M|480.0|Ambato|2023-09-06|Secundaria|
1857560229| adriana cornejo espinoza |36.0|159.7|114.0|F|971.23|Ambato|2025-07-24|Universidad|
1834693598|isabela  cedeño  benítez|58.0|172.3|157.9|f|684.41|Ambato|2025-02-22|Universidad| isabela.cedeno.benitez@outlook.com 
1833907718|Ana Espinoza Peña|34.0|168.9|157.9|M|1008.12|Ambato|2023-12-30|Secundaria|ana.espinoza.pena@empresa.ec
1851371334|Fernanda Cedeño Ortega|35.0|176.9|161.6|M|734.82|Ambato|Oct 16, 2023|Universidad|fernanda.cedeno.ortega@hotmail.com
1827401553001|elena navarro arévalo|33.0|174.7|183.4|M|689.36|Ambato|07/06/2024|Tecnico|elena.navarro.arevalo@outlook.com
1835561810001|melanie villacís guerrero|43.0|183.7|173.2|m|754.65|Ambato|2025-03-20|Tecnico|
1805127956|María Rodriguez Benítez|31.0|173.7|155.5|F|480.0|Ambato|2025-09-25|Secundaria|maria.rodriguez.benitez@yahoo.com
1839777156|Kevin Arévalo Chávez|42.0|173.0|153.4|M|480.0|Ambato|16/05/2023|Secundaria|KEVIN.AREVALO.CHAVEZ@EMPRESA.EC
1847686332|cristian solís bravo|42.0|177.0|169.9|m|574.18|Ambato|2024-09-14|Universidad|cristian.solis.bravo@outlook.com
1815505209001| isabela garcía garcía |24.0|164.8|153.6|M|764.02|Ambato|2024-01-03|Tecnico|ISABELA.GARCIA.GARCIA@OUTLOOK.COM
1846914156|valeria sanchez guerrero|36.0|179.2|192.7|M|480.0|Ambato|05/06/2023|Universidad|valeria.sanchez.guerrero@yahoo.com
1858104688| Jose Navarro Silva |43.0|165.7|152.8|F|491.29|Ambato|2023-06-22|Primaria|
1856681265|Melanie Delgado García|42.0|169.4|161.7|M|661.67|Ambato|2024-12-24|Secundaria|melanie.delgado.garcia@gmail.com
1828821395|daniel reyes flores|45.0|172.3|167.5|m|734.11|Ambato|2025-04-28|Universidad|daniel.reyes.flores@outlook.com
1814633978| Paola Cedeño Villamar |48.0|175.2|162.0|m|480.0|Ambato|Sep 14, 2025|Universidad|
1812794772001|Paola Tapia Acosta|51.0|180.4|195.9|m|519.03|Ambato|2025-01-25|Universidad|
1815287584001|JUAN VALENCIA ORTEGA|30.0|163.2|129.3|f|559.67|Ambato|2023-03-25|Universidad|juan.valencia.ortega@gmail.com
1828607778001|Melanie Carrillo Reyes|27.0|175.1|183.1|M|1299.78|Ambato|14/10/2024|Tecnico|MELANIE.CARRILLO.REYES@GMAIL.COM
1829316932001|cristian torres espinoza|36.0|165.4|135.2|F|790.76|Ambato|2025-11-20|Universidad|cristian.torres.espinoza@gmail.com
1810466373001|JAVIER ACOSTA PAREDES|41.0|175.5|157.9|f|1380.14|Ambato|2025-10-02|Tecnico|JAVIER.ACOSTA.PAREDES@HOTMAIL.COM
1854237003001|Sebastián Moreno Tapia|48.0|181.9|180.9|f|780.97|Ambato|2025-09-06|Universidad|
1856205800|FERNANDA SOLÍS MOLINA||175.8|175.9|M|731.8|Ambato|2024-08-01|Tecnico|fernanda.solis.molina@hotmail.com
1839787072|Paola Quintero Silva|39.0|179.5|190.0|m|480.0|Ambato|22/02/2025|Secundaria|paola.quintero.silva@yahoo.com
1830655740|ALEJANDRO SANCHEZ RODRIGUEZ|49.0|169.5|143.3|f|480.0|Ambato|27/01/2023|Tecnico|alejandro.sanchez.rodriguez@yahoo.com
1824156325|Miguel Vera Mendoza|52.0|178.5|164.8|m|480.0|Ambato|2023-01-13|Universidad|
1853974572|Esteban Tapia Jiménez|43.0|161.4|103.2|f|646.35|Ambato|26/01/2023|Secundaria|
1831926298|SEBASTIÁN ARÉVALO REYES|39.0|183.9|218.5|m|743.78|Ambato|2024-09-04|Universidad|
1803772100|Carlos Tapia Valencia|40.0|165.4|127.7|f|480.0|Ambato|10/01/2026|Universidad|
1802545515|Esteban Mendoza Cruz|36.0|182.3|181.8|m|1118.23|Ambato||Maestria|esteban.mendoza.cruz@empresa.ec
1854472386001|Ana  Arévalo  Molina|37.0|184.3|195.4|m|932.45|Ambato|12/05/2025|Universidad|ana.arevalo.molina@empresa.ec
1855635486|Ana Peña Villacís|32.0|174.0|181.3|m|559.02|Ambato|Mar 01, 2024|Secundaria|ana.pena.villacis@hotmail.com
1843081082|Melanie Navarro Delgado|31.0|167.7|147.4|M|507.2|Ambato|2024-01-27|Universidad|melanie.navarro.delgado@gmail.com
1808435224|VALERIA ARÉVALO HERRERA|44.0|166.5|148.4|f|1154.93|Ambato|2023-01-13|Universidad|valeria.arevalo.herrera@gmail.com
1837402849001|Bryan Reyes López|32.0|165.7|144.2|F|480.0|Ambato|2025-11-15|Primaria|bryan.reyes.lopez@hotmail.com
1807573306|cristian arévalo lópez|36.0|166.2|151.8|f|480.0|Ambato|15/02/2025|Universidad|cristian.arevalo.lopez@hotmail.com
1836997856|Isabela  Bravo  García|38.0|169.1|153.3|m|604.72|Ambato||Secundaria|isabela.bravo.garcia@outlook.com
1834407544|Jose López Chávez|36.0|171.6|124.3|M|646.87|Ambato|Dec 01, 2024|Universidad|
1846512133|Camila Mera Alvarado|36.0|181.4|209.9|m|480.0|Ambato|2024-09-10|Secundaria|
1858811423|Valeria Chávez Cruz|25.0|167.7|137.5|f|697.38|Ambato|2023-04-25|Universidad|valeria.chavez.cruz@gmail.com
1820868717|MIGUEL BRAVO DELGADO|37.0|172.5|182.7|M|855.27|Ambato|01/04/2024|Maestria|miguel.bravo.delgado@hotmail.com
1828838548|melanie quintero salazar|40.0|165.8|125.0|f|556.94|Ambato|Apr 12, 2025|Maestria|melanie.quintero.salazar@outlook.com
1842453266|Tatiana Espinoza Salazar|34.0|158.0|131.0|f|1225.71|Ambato|2023-02-09|Universidad|tatiana.espinoza.salazar@empresa.ec
1822578215001|CARLOS CORNEJO GARCÍA|31.0|178.6|155.6|M|612.16|Ambato|2025-07-09|Secundaria|carlos.cornejo.garcia@hotmail.com
1836829695|lucía villamar quintero|39.0|189.7|174.3|M|480.0|Ambato|2024-08-23|Secundaria|
1835553890|sebastián silva jiménez|43.0|162.7|150.8|m|624.28|Ambato|23/03/2025|Secundaria|
1832452849|LUCÍA ESPINOZA CHÁVEZ|38.0|170.8|153.5|f|480.0|Ambato|20/07/2023|Universidad|
1816605065001| Mateo Valencia López |35.0|173.0|137.7|M|582.9|Ambato|Nov 30, 2023|Universidad|
1859547638|Ana Cedeño Jiménez|39.0|168.9|129.5|F|700.77|Ambato||Secundaria|
1848543763|melanie villamar cruz|34.0|179.2|165.4|M|702.8|Ambato|Apr 06, 2024|Maestria|
1840395147| Natalia Solís Sanchez|50.0|159.9|132.0|F|888.16|Ambato|2024-04-20|Universidad|
1834666198001|DANIEL HERRERA SALAZAR|31.0|182.4|189.7|m|570.93|Ambato|25/10/2024|Universidad|
1823666613001|ISABELA HERRERA ROJAS|28.0|182.3|193.4|m|480.0|Ambato|Mar 25, 2025|Universidad|ISABELA.HERRERA.ROJAS@YAHOO.COM
1849165830|fernanda espinoza cruz|44.0|158.5|123.2|f|636.27|Ambato|2023-10-25|Secundaria|
1858108481|Cristian Silva Cedeño|49.0|170.6|148.5|f|695.52|Ambato|2025-03-02|Secundaria|cristian.silva.cedeno@yahoo.com
1815487275001|Carmen López Arévalo|33.0|172.3|181.5|m|885.71|Ambato|06/02/2025|Secundaria|carmen.lopez.arevalo@hotmail.com
1855452130|María Reyes Sanchez|32.0|169.4|156.0|F|480.0|Ambato|02/09/2024|Maestria|maria.reyes.sanchez@outlook.com
1828339083|Lucía Chávez Mera|40.0|184.8|190.0|m|1231.14|Ambato|11/06/2024|Universidad|lucia.chavez.mera@outlook.com
1810083848|Valeria Arévalo Carrillo|31.0|166.3|139.4|F|480.0|Ambato|02/10/2024|Secundaria|valeria.arevalo.carrillo@hotmail.com
1812334157|melanie cruz silva|38.0|163.3|140.1|m|878.08|Ambato|28/04/2025|Secundaria|
1816463150|Paola Solís Benítez|43.0|177.9|192.9|M|2328.79|Ambato|21/05/2023|Universidad|PAOLA.SOLIS.BENITEZ@OUTLOOK.COM
1849671183|ANDREA  CARRILLO  FLORES|42.0|176.2|156.4|m|503.98|Ambato|2025-01-09|Secundaria|andrea.carrillo.flores@hotmail.com
1802101665|Lucía Sanchez Bravo|33.0|178.3|186.4|f|480.0|Ambato|24/11/2023|Secundaria|LUCIA.SANCHEZ.BRAVO@HOTMAIL.COM
1835392604|Daniel  Bravo  Herrera|42.0|160.7|119.8|F|1253.12|Ambato|2023-12-21|Maestria|
1837410404|JORGE ARÉVALO MOLINA|37.0|160.1|134.2|f|491.71|Ambato||Secundaria|
1824499956|Sebastián Carrillo Bravo|48.0|170.2|176.0|M|1204.45|Ambato|2023-12-22|Universidad|sebastian.carrillo.bravo@hotmail.com
1826794040|Esteban Rojas Cruz|62.0|180.4|169.8|m|480.0|Ambato|2023-04-21|Secundaria|esteban.rojas.cruz@gmail.com
1823940703|Sofía Mendoza Jiménez|38.0|169.0|163.8|M|480.0|Ambato|14/02/2023|Primaria|sofia.mendoza.jimenez@empresa.ec
1821216833001|CARMEN JIMÉNEZ BRAVO|30.0|182.8|184.9|M|480.0|Ambato|2025-07-24|Tecnico|carmen.jimenez.bravo@outlook.com
1808960346|Paola Cruz Alvarado|43.0|192.1|205.7|M|480.0|Ambato|27/12/2024|Secundaria|PAOLA.CRUZ.ALVARADO@YAHOO.COM
1853580833|SAMUEL RODRIGUEZ SUÁREZ|42.0|174.8|177.6|m|620.49|Ambato|Nov 11, 2023|Universidad|samuel.rodriguez.suarez@outlook.com
1842019232|nicole acosta garcía|38.0|168.5|140.4|f|862.08|Ambato||Universidad|nicole.acosta.garcia@gmail.com
1808414260|andrea rodriguez cruz|30.0|161.3|141.9|F|576.59|Ambato|Feb 24, 2023|Universidad|andrea.rodriguez.cruz@yahoo.com
1816274144|JUAN GARCÍA HERRERA|32.0|165.6|149.5|m|480.0|Ambato|2023-11-02|Universidad|
1819485580|Camila Cedeño Romero|36.0|160.4|116.7|f|1175.02|Ambato|2024-04-01|Secundaria|camila.cedeno.romero@outlook.com
1856920085|Karen Jiménez Delgado|30.0|180.9|176.3|M|1181.48|Ambato|07/12/2025|Universidad|karen.jimenez.delgado@gmail.com
1843596535|andrea  vera  valencia|45.0|179.6|178.2|M|837.71|Ambato|2024-07-07|Secundaria|
1833732355|Lucía Cornejo Mera|38.0|156.0|139.0|F|480.0|Ambato|Sep 28, 2025|Primaria|
1829145463001|Gabriela  Acosta  Villacís|49.0|162.2|128.7|f|539.75|Ambato|2026-02-03|Secundaria|gabriela.acosta.villacis@hotmail.com
1821575006001|Samuel Navarro Tapia|61.0|176.3|174.5|M|2060.94|Ambato||Maestria|samuel.navarro.tapia@outlook.com
1832979239|Miguel Espinoza Villamar|29.0|184.5|221.5|M|856.18|Ambato|2025-04-19|Universidad|miguel.espinoza.villamar@gmail.com
1853111027001|karen cedeño chávez|30.0|168.6|144.4|F|900.61|Ambato|09/11/2023|Universidad|
1822002208|DIEGO VILLAMAR CASTRO|29.0|157.7|111.9|f|480.0|Ambato|2025-01-24|Universidad|
1835614221|Fernanda Arévalo Paredes|34.0|170.2|142.7|f|835.18|Ambato|05/12/2023|Secundaria|
1855708440| Jorge Peña Moreno |39.0|180.2|175.9|m|480.0|Ambato|29/04/2023|Primaria|jorge.pena.moreno@yahoo.com
1852311438|Vanessa Moreno Silva|29.0|149.0|95.0|F|2392.06|Ambato|2024-02-13|Universidad|vanessa.moreno.silva@hotmail.com
1826730564001| David Peña Zambrano |26.0|180.6|168.6|m|480.0|Ambato|Oct 23, 2024|Secundaria|david.pena.zambrano@empresa.ec
1831387269|mateo molina torres|31.0|155.0|118.1|f|480.0|Ambato|2023-08-07|Secundaria|mateo.molina.torres@outlook.com
1843686393|javier castro salazar|36.0|172.0|131.5|M|480.0|Ambato|2025-06-29|Primaria|
1848895940|Carla Carrillo Peña|31.0|173.9|148.7|F|1263.66|Ambato|2023-01-15|Universidad|
1859559757|pedro salazar solís|38.0|154.5|116.1|f|1137.11|Ambato|2023-10-01|Secundaria|
1813691043001|Gustavo Acosta Bravo|35.0|179.2|212.6|m|605.4|Ambato|26/03/2023|Maestria|gustavo.acosta.bravo@hotmail.com
1819882687001|Ana Moreno Silva|27.0|177.8|191.5|M|480.0|Ambato|06/10/2024|Tecnico|ana.moreno.silva@gmail.com
1832132268001|Lucía Acosta Jiménez|32.0|163.9|156.1|F|863.3|Ambato|2023-05-05|Tecnico|lucia.acosta.jimenez@yahoo.com
1851194314|Lucía Rojas Delgado|45.0|178.6|184.6|M|480.0|Ambato|2025-01-05|Universidad|lucia.rojas.delgado@yahoo.com
1858434986001|Adriana Herrera Acosta|38.0|193.0|197.5|M|636.78|Ambato|2025-07-11|Secundaria|adriana.herrera.acosta@outlook.com
1825644022| Paola Cedeño Villamar |44.0|160.9|120.7|F|480.0|Ambato|May 09, 2025|Secundaria|paola.cedeno.villamar@gmail.com
1857386948|  Cristian  Solís  Villamar  |35.0|181.5|193.9|m|480.0|Ambato|Nov 09, 2023|Universidad|cristian.solis.villamar@gmail.com
1844000347| NATALIA QUINTERO ROMERO|34.0|169.7|166.9|M|1608.27|Ambato|02/06/2024|Maestria|.natalia.quintero.romero@yahoo.com
1852788403|samuel jiménez garcía|43.0|170.8|149.3|f|1385.09|Ambato|2024-01-05|Universidad|samuel.jimenez.garcia@outlook.com
1823858103| Jose Benítez Silva |31.0|179.9|202.3|m|555.9|Ambato|20/12/2024|Universidad|jose.benitez.silva@hotmail.com
1822535579|Gustavo Acosta Alvarado|30.0|175.4|178.6|M|556.79|Ambato|02/08/2025|Tecnico|
1806041297|melanie benítez navarro|40.0|184.5|193.2|M|480.0|Ambato|04/09/2025|Universidad|melanie.benitez.navarro@empresa.ec
1812850210|Nicole  Molina  Moreno|40.0|179.4|161.3|M|709.29|Ambato|23/12/2023|Secundaria|
1828496099|Carmen Valencia Cedeño|28.0|163.0|137.4|f|969.48|Ambato|08/01/2024|Secundaria|carmen.valencia.cedeno@gmail.com
1811409406|David Solís Benítez|37.0|171.5|138.5|F|1355.46|Ambato|11/06/2024|Maestria|david.solis.benitez@outlook.com
