identificacion,nombre,edad,altura_cm,peso_lb,sexo,salario,ciudad,fecha_registro,nivel_educacion,email,nombre_clean
1745942597,ISABELA QUINTERO VALENCIA,53.0,167.7,146.5,F,480.0,Quito,"Apr 08, 2025",Secundaria,isabela.quintero.valencia@hotmail.com,Isabela Quintero Valencia
926665555, cristian ortega reyes ,38.0,168.7,160.7,F,778.81,Guayaquil,31/03/2025,Secundaria,cristian.ortega.reyes@gmail.com,Cristian Ortega Reyes
1727440032001,Pedro Flores Vera,31.0,157.2,132.7,F,625.28,Quito,2025-08-25,Tecnico,pedro.flores.vera@gmail.com,Pedro Flores Vera
130382666001,ALEJANDRO MOLINA VILLACÍS,29.0,155.6,143.6,F,646.16,Cuenca,"Jun 14, 2023",Secundaria,alejandro.molina.villacis@yahoo.com,Alejandro Molina Villacís
121154801,Andrea Espinoza Valencia,34.0,159.5,145.7,F,544.56,Cuenca,09/09/2024,Tecnico,andrea.espinoza.valencia@hotmail.com,Andrea Espinoza Valencia
1806883011,Carmen Tapia Cedeño,37.0,174.0,167.3,M,1477.7,Ambato,2023-09-14,Universidad,carmen.tapia.cedeno@outlook.com,Carmen Tapia Cedeño
101153450,andrea cruz espinoza,32.0,184.6,166.7,M,480.0,Cuenca,2026-02-02,Tecnico,andrea.cruz.espinoza@yahoo.com,Andrea Cruz Espinoza
110086477001,valeria alvarado molina,39.0,180.0,178.3,M,480.0,Cuenca,"Aug 24, 2025",Secundaria,VALERIA.ALVARADO.MOLINA@EMPRESA.EC,Valeria Alvarado Molina
935282186,mateo vera acosta,46.0,163.5,154.0,F,645.27,Guayaquil,"Mar 16, 2024",Universidad,mateo.vera.acosta@yahoo.com,Mateo Vera Acosta
1726637810,Tatiana Chávez Flores,29.0,175.3,169.8,M,480.0,Quito,2023-02-24,Secundaria,tatiana.chavez.flores@hotmail.com,Tatiana Chávez Flores
919599332,Adriana  Tapia  Valencia,45.0,180.3,169.7,M,686.95,Guayaquil,2025-04-05,Universidad,adriana.tapia.valencia@yahoo.com,Adriana  Tapia  Valencia
1754543997,Vanessa  Silva  Peña,27.0,155.5,97.7,F,890.87,Quito,2025-04-12,Universidad,,Vanessa  Silva  Peña
1852519774,sebastián ortega mera,32.0,177.9,159.9,M,480.0,Ambato,2023-04-17,Secundaria,sebastian.ortega.mera@outlook.com,Sebastián Ortega Mera
1756493977,Andrea Salazar Quintero,48.0,175.9,155.6,F,480.0,Quito,"Feb 08, 2023",Secundaria,andrea.salazar.quintero@gmail.com,Andrea Salazar Quintero
904463957,kevin arévalo valencia,43.0,162.0,130.7,F,752.54,Guayaquil,2023-05-22,Primaria,,Kevin Arévalo Valencia
2336761735,Ricardo Romero Chávez,30.0,180.7,193.5,M,794.08,Santo Domingo,"Dec 20, 2025",Universidad,RICARDO.ROMERO.CHAVEZ@YAHOO.COM,Ricardo Romero Chávez
944924166,Samuel  Cruz  Silva,31.0,180.5,190.1,M,1011.49,Guayaquil,"Aug 02, 2023",Tecnico,samuel.cruz.silva@yahoo.com,Samuel  Cruz  Silva
1725266926,Daniel Vera Chávez,43.0,168.9,135.3,M,1072.19,Quito,2024-09-07,Tecnico,daniel.vera.chavez@empresa.ec,Daniel Vera Chávez
1737507408,Ana Moreno Arévalo,45.0,181.1,175.5,M,1028.8,Quito,2025-08-22,Secundaria,,Ana Moreno Arévalo
954553079,CARLA SALAZAR GARCÍA,33.0,165.4,148.7,F,480.0,Guayaquil,2024-12-04,Secundaria,carla.salazar.garcia@empresa.ec,Carla Salazar García
2459327819,Andrea  Solís  Suárez,58.0,160.7,124.3,F,783.65,Salinas,27/02/2025,Secundaria,ANDREA.SOLIS.SUAREZ@EMPRESA.EC,Andrea  Solís  Suárez
949375448001,ricardo benítez navarro,40.0,177.8,177.6,M,1244.26,Guayaquil,28/07/2025,Maestria,RICARDO.BENITEZ.NAVARRO@EMPRESA.EC,Ricardo Benítez Navarro
1820975603,LUIS BRAVO VILLAMAR,44.0,165.7,150.7,M,620.12,Ambato,2024-12-22,Universidad,,Luis Bravo Villamar
1844567626, natalia peña chávez,37.0,166.3,133.9,M,1669.68,Ambato,2023-08-09,Secundaria,.natalia.pena.chavez@yahoo.com,Natalia Peña Chávez
942514829,mateo salazar vera,42.0,183.8,181.7,M,480.0,Guayaquil,12/01/2024,Universidad,mateo.salazar.vera@empresa.ec,Mateo Salazar Vera
927001230,Samuel Villacís Paredes,40.0,170.8,159.4,F,480.0,Guayaquil,19/04/2025,Tecnico,,Samuel Villacís Paredes
2456989058, PAOLA LOOR CEDEÑO ,44.0,184.4,222.0,M,1076.07,Salinas,"Oct 23, 2023",Primaria,,Paola Loor Cedeño
936036078,Nicole Loor Quintero,28.0,166.9,158.9,M,519.86,Guayaquil,24/11/2023,Universidad,,Nicole Loor Quintero
100631704001,carmen  arévalo  torres,36.0,185.2,197.4,M,480.0,Cuenca,2024-05-05,Tecnico,carmen.arevalo.torres@yahoo.com,Carmen  Arévalo  Torres
104913553,  diana  castro  garcía  ,31.0,161.7,136.0,F,517.91,Cuenca,,Universidad,diana.castro.garcia@yahoo.com,Diana  Castro  García
906180278,Daniel Acosta Jiménez,36.0,161.3,150.6,M,480.0,Guayaquil,15/10/2024,Secundaria,,Daniel Acosta Jiménez
1742564022,GUSTAVO ARÉVALO GUERRERO,39.0,172.6,141.3,M,2584.7,Quito,09/03/2023,Maestria,,Gustavo Arévalo Guerrero
938801289,Isabela Valencia Romero,36.0,180.4,209.6,M,1055.43,Guayaquil,"Oct 04, 2023",Secundaria,,Isabela Valencia Romero
1711700698,juan bravo sanchez,41.0,177.8,163.7,M,985.65,Quito,24/05/2023,Secundaria,juan.bravo.sanchez@outlook.com,Juan Bravo Sanchez
1715949820, Mateo Rojas Navarro ,29.0,160.7,128.4,F,1389.39,Quito,2025-03-09,Tecnico,,Mateo Rojas Navarro
922722541,karen loor rojas,42.0,157.3,114.4,F,1506.15,Guayaquil,2024-09-20,Secundaria,karen.loor.rojas@outlook.com,Karen Loor Rojas
116009861,BRYAN REYES ALVARADO,42.0,183.0,172.8,M,480.0,Cuenca,2023-10-24,Tecnico,bryan.reyes.alvarado@yahoo.com,Bryan Reyes Alvarado
1325993796,MATEO MORENO MENDOZA,40.0,177.8,186.7,M,692.55,Portoviejo,2024-01-03,Universidad,,Mateo Moreno Mendoza
754176527,andrés lópez sanchez,32.0,180.0,189.9,M,690.45,Machala,2024-08-13,Maestria,andres.lopez.sanchez@yahoo.com,Andrés López Sanchez
1739471132,gustavo reyes sanchez,30.0,190.3,208.0,M,599.52,Quito,2025-11-14,Universidad, gustavo.reyes.sanchez@outlook.com ,Gustavo Reyes Sanchez
934960485,GABRIELA CRUZ ESPINOZA,40.0,178.2,195.1,M,566.97,Guayaquil,2025-04-08,Universidad,,Gabriela Cruz Espinoza
1751759430, david cedeño rodriguez ,28.0,178.2,194.3,M,661.66,Quito,2023-01-26,Universidad,,David Cedeño Rodriguez
114416035,MIGUEL SILVA CASTRO,44.0,152.8,124.7,F,1197.79,Cuenca,2023-01-29,Universidad,miguel.silva.castro@empresa.ec,Miguel Silva Castro
103373841,KAREN NAVARRO TORRES,54.0,172.9,160.6,F,961.13,Cuenca,2024-06-29,Universidad,,Karen Navarro Torres
1721069332,bryan cedeño vera,40.0,167.0,137.1,F,596.58,Quito,"Mar 26, 2024",Tecnico,bryan.cedeno.vera@empresa.ec,Bryan Cedeño Vera
1100176963001,Andrés Benítez Flores,28.0,177.1,189.4,M,864.95,Loja,17/05/2023,Secundaria,andres.benitez.flores@gmail.com,Andrés Benítez Flores
920295672,esteban acosta silva,41.0,177.9,194.2,M,972.75,Guayaquil,09/01/2023,Secundaria,esteban.acosta.silva@yahoo.com,Esteban Acosta Silva
942811662,Miguel Suárez Villamar,41.0,171.9,166.6,F,480.0,Guayaquil,2024-04-28,Tecnico,miguel.suarez.villamar@gmail.com,Miguel Suárez Villamar
925820508,andrés zambrano rodriguez,41.0,174.4,154.2,M,734.41,Guayaquil,30/10/2025,Universidad,,Andrés Zambrano Rodriguez
1311654113,karen suárez lópez,49.0,,148.5,F,480.0,Manta,2023-02-21,Tecnico,,Karen Suárez López
958065526,Andrés  Salazar  García,34.0,,124.5,F,637.82,Guayaquil,18/12/2023,Secundaria,,Andrés  Salazar  García
1716258767,ricardo vera villacís,36.0,183.8,210.0,M,480.0,Quito,2026-01-01,Universidad,ricardo.vera.villacis@empresa.ec,Ricardo Vera Villacís
1356447548, alejandro cedeño guerrero ,43.0,171.4,155.0,M,480.0,Manta,01/10/2023,Secundaria,alejandro.cedeno.guerrero@outlook.com,Alejandro Cedeño Guerrero
1754540639,carla navarro cedeño,33.0,155.8,103.5,F,480.0,Quito,20/09/2024,Tecnico,carla.navarro.cedeno@gmail.com,Carla Navarro Cedeño
957316888, Bryan Tapia Solís ,30.0,159.3,142.3,F,480.0,Guayaquil,19/12/2023,Universidad,bryan.tapia.solis@empresa.ec,Bryan Tapia Solís
1740693179,lucía moreno mera,37.0,170.9,177.0,M,1330.42,Quito,22/09/2023,Tecnico,,Lucía Moreno Mera
921364949,Andrés Quintero Valencia,28.0,171.2,183.5,M,949.32,Guayaquil,2023-08-21,Universidad,andres.quintero.valencia@yahoo.com,Andrés Quintero Valencia
902071182,Diana Castro Molina,42.0,170.8,153.0,F,480.0,Guayaquil,2025-09-28,Secundaria,diana.castro.molina@outlook.com,Diana Castro Molina
2430190872,tatiana castro zambrano,27.0,158.2,117.7,F,480.0,Salinas,13/11/2025,Tecnico,,Tatiana Castro Zambrano
1004787667, ADRIANA ROJAS BRAVO ,33.0,161.0,142.8,F,1391.43,Ibarra,2024-10-23,Tecnico,,Adriana Rojas Bravo
1211810302,Gabriela Silva López,33.0,191.2,226.8,M,480.0,Quevedo,2023-10-30,Secundaria,gabriela.silva.lopez@hotmail.com,Gabriela Silva López
1133618577,Tatiana  Mera  Ortega,36.0,154.2,100.7,F,480.0,Loja,19/01/2025,Secundaria,,Tatiana  Mera  Ortega
1702214964001,Bryan Villamar Cedeño,32.0,168.8,137.2,M,631.29,Quito,08/07/2024,Tecnico,,Bryan Villamar Cedeño
1730055314001,Ricardo Sanchez Cornejo,42.0,157.7,130.4,F,480.0,Quito,20/12/2025,Secundaria,,Ricardo Sanchez Cornejo
1718630666,david acosta benítez,45.0,,185.7,M,1416.55,Quito,2023-07-23,Universidad,,David Acosta Benítez
1757281504,carla valencia chávez,28.0,181.2,171.0,M,480.0,Quito,"Feb 21, 2025",Secundaria,,Carla Valencia Chávez
925565525001,Fernanda Loor Navarro,36.0,169.7,125.1,F,480.0,Guayaquil,2023-02-19,Secundaria,,Fernanda Loor Navarro
925741175001,Jose Delgado Silva,55.0,184.3,171.6,M,480.0,Guayaquil,,Universidad,jose.delgado.silva@empresa.ec,Jose Delgado Silva
1333157418,Mateo Sanchez Rojas,28.0,170.4,149.1,F,869.23,Portoviejo,2023-09-28,Secundaria,mateo.sanchez.rojas@gmail.com,Mateo Sanchez Rojas
1135520748001,Carla Herrera Molina,33.0,168.0,126.3,F,572.13,Loja,2024-12-17,Secundaria,CARLA.HERRERA.MOLINA@OUTLOOK.COM,Carla Herrera Molina
140050741,Esteban Silva Carrillo,44.0,170.6,165.1,M,678.04,Cuenca,2024-08-08,Tecnico,ESTEBAN.SILVA.CARRILLO@HOTMAIL.COM,Esteban Silva Carrillo
947133880,Bryan López Villacís,41.0,176.5,184.9,M,936.45,Guayaquil,"Feb 13, 2025",Universidad,bryan.lopez.villacis@empresa.ec,Bryan López Villacís
726667959001,RICARDO SANCHEZ VALENCIA,58.0,163.0,131.2,F,480.0,Machala,2024-12-04,Universidad,ricardo.sanchez.valencia@hotmail.com,Ricardo Sanchez Valencia
1749593578,LUCÍA  ZAMBRANO  ESPINOZA,31.0,165.8,137.8,F,480.0,Quito,2024-05-31,Secundaria,lucia.zambrano.espinoza@hotmail.com,Lucía  Zambrano  Espinoza
2341356851,RICARDO GUERRERO QUINTERO,29.0,179.7,181.8,M,480.0,Santo Domingo,15/10/2025,Tecnico,,Ricardo Guerrero Quintero
701682999001, Cristian Cruz Moreno ,32.0,176.3,150.2,F,480.0,Machala,25/01/2024,Secundaria,cristian.cruz.moreno@empresa.ec,Cristian Cruz Moreno
938779782001,ANDREA VILLACÍS SUÁREZ,48.0,183.7,169.7,M,489.94,Guayaquil,30/01/2025,Universidad,andrea.villacis.suarez@yahoo.com,Andrea Villacís Suárez
1705261749, Andrés Tapia Cornejo ,31.0,170.0,155.3,F,709.46,Quito,2023-02-03,Maestria,andres.tapia.cornejo@outlook.com,Andrés Tapia Cornejo
121058028,ALEJANDRA REYES LÓPEZ,37.0,167.0,148.6,F,614.55,Cuenca,07/01/2024,Universidad,,Alejandra Reyes López
1751436583,Vanessa  Arévalo  Acosta,34.0,175.2,193.0,M,1216.75,Quito,21/08/2025,Primaria,vanessa.arevalo.acosta@yahoo.com,Vanessa  Arévalo  Acosta
623491388001,SAMUEL ROJAS MOLINA,35.0,165.1,130.9,F,480.0,Riobamba,2024-04-01,Universidad,,Samuel Rojas Molina
1722770839,Mateo Salazar Acosta,31.0,175.5,181.3,M,493.83,Quito,2024-08-26,Maestria,,Mateo Salazar Acosta
1313904383,Daniel Moreno Delgado,37.0,176.9,155.8,M,480.0,Manta,2025-12-05,Secundaria,,Daniel Moreno Delgado
942237314,SAMUEL JIMÉNEZ PEÑA,,175.4,175.5,F,480.0,Guayaquil,15/01/2024,Secundaria, samuel.jimenez.pena@gmail.com ,Samuel Jiménez Peña
1250945498001,carmen silva rojas,28.0,166.2,139.6,F,898.71,Quevedo,11/07/2023,Secundaria,carmen.silva.rojas@gmail.com,Carmen Silva Rojas
907453377,vanessa romero paredes,32.0,164.3,143.2,M,1160.04,Guayaquil,2025-08-18,Maestria,vanessa.romero.paredes@empresa.ec,Vanessa Romero Paredes
1138531924,isabela sanchez suárez,34.0,,142.3,F,480.0,Loja,"Jun 26, 2025",Secundaria, isabela.sanchez.suarez@gmail.com ,Isabela Sanchez Suárez
725905921,Sofía Zambrano Delgado,30.0,179.1,179.8,M,615.36,Machala,"Nov 24, 2024",Secundaria,sofia.zambrano.delgado@gmail.com,Sofía Zambrano Delgado
1049801465001, Gabriela Mera Solís ,32.0,189.8,220.0,M,480.0,Ibarra,08/01/2023,Universidad,gabriela.mera.solis@outlook.com,Gabriela Mera Solís
2313913291001,Valeria Vera García,31.0,164.6,152.4,M,1051.7,Santo Domingo,2023-10-15,Secundaria,,Valeria Vera García
919318717,samuel espinoza peña,28.0,162.1,160.0,F,480.0,Guayaquil,06/04/2024,Secundaria,samuel.espinoza.pena@empresa.ec,Samuel Espinoza Peña
1743471235,pedro guerrero cedeño,36.0,173.3,169.4,M,611.07,Quito,,Universidad,,Pedro Guerrero Cedeño
2453889749,Valeria Arévalo Villacís,34.0,161.6,125.9,F,672.0,Salinas,2025-12-07,Secundaria,valeria.arevalo.villacis@outlook.com,Valeria Arévalo Villacís
1733786386,isabela navarro cruz,29.0,151.9,137.1,F,480.0,Quito,"Oct 15, 2025",Secundaria,ISABELA.NAVARRO.CRUZ@OUTLOOK.COM,Isabela Navarro Cruz
1717918344,LUIS NAVARRO JIMÉNEZ,37.0,176.9,174.3,M,494.1,Quito,2024-06-08,Secundaria,,Luis Navarro Jiménez
1749318224001,Nicole  López  Salazar,33.0,154.4,110.9,F,693.66,Quito,2026-02-05,Secundaria,NICOLE.LOPEZ.SALAZAR@EMPRESA.EC,Nicole  López  Salazar
1742335431, Elena Carrillo Romero ,39.0,173.1,167.7,F,1034.28,Quito,"Jul 31, 2025",Secundaria,elena.carrillo.romero@outlook.com,Elena Carrillo Romero
1156599316,Alejandra Rojas Vera,28.0,162.3,147.1,F,1055.96,Loja,2024-06-11,Secundaria,alejandra.rojas.vera@gmail.com,Alejandra Rojas Vera
946544681001,Carmen  Romero  Silva,43.0,165.1,144.7,F,606.81,Guayaquil,2024-11-26,Universidad,,Carmen  Romero  Silva
105952394001,kevin espinoza tapia,40.0,,140.3,F,480.0,Cuenca,2025-01-21,Secundaria,KEVIN.ESPINOZA.TAPIA@EMPRESA.EC,Kevin Espinoza Tapia
906175203, DIANA QUINTERO MENDOZA ,32.0,187.5,189.7,M,830.55,Guayaquil,2026-02-04,Universidad,diana.quintero.mendoza@gmail.com,Diana Quintero Mendoza
121665087,Fernanda Tapia Reyes,36.0,170.3,152.1,F,1231.49,Cuenca,"Dec 18, 2025",Secundaria,,Fernanda Tapia Reyes
101362036,gabriela  acosta  molina,35.0,174.0,172.8,F,691.94,Cuenca,2025-02-24,Tecnico,gabriela.acosta.molina@hotmail.com,Gabriela  Acosta  Molina
955416383,Carla Cedeño Loor,38.0,166.3,117.9,F,607.68,Guayaquil,"Sep 25, 2023",Secundaria,,Carla Cedeño Loor
133560698,ESTEBAN  GARCÍA  MOLINA,31.0,167.2,154.5,F,657.66,Cuenca,,Universidad,esteban.garcia.molina@outlook.com,Esteban  García  Molina
1128259841001,Andrea Solís Benítez,40.0,162.6,137.3,F,480.0,Loja,11/10/2024,Universidad,,Andrea Solís Benítez
1724908288, JUAN LÓPEZ MORENO ,29.0,,120.3,F,480.0,Quito,2024-05-14,Secundaria,juan.lopez.moreno@empresa.ec,Juan López Moreno
943844126,sebastián quintero rojas,31.0,162.3,159.4,M,482.59,Guayaquil,2024-12-17,Universidad,,Sebastián Quintero Rojas
1748864673,isabela mendoza peña,38.0,167.2,159.8,F,1343.06,Quito,15/06/2023,Secundaria,isabela.mendoza.pena@outlook.com,Isabela Mendoza Peña
103695383,Diana Mendoza Villacís,31.0,160.7,122.7,F,480.0,Cuenca,2023-07-15,Universidad,,Diana Mendoza Villacís
128036712,Adriana Paredes Jiménez,63.0,175.8,159.9,M,480.0,Cuenca,2024-06-25,Secundaria,,Adriana Paredes Jiménez
941192502,Kevin Espinoza Alvarado,31.0,169.1,148.5,F,480.0,Guayaquil,2025-10-23,Universidad,kevin.espinoza.alvarado@gmail.com,Kevin Espinoza Alvarado
926855248,Jose Rojas Silva,43.0,173.9,179.3,M,788.35,Guayaquil,2025-10-14,Universidad,jose.rojas.silva@gmail.com,Jose Rojas Silva
814700456,daniel reyes chávez,39.0,164.1,160.4,M,814.37,Esmeraldas,2023-05-25,Maestria,daniel.reyes.chavez@empresa.ec,Daniel Reyes Chávez
1715289094,Valeria Navarro Herrera,36.0,167.7,150.2,F,1011.02,Quito,19/07/2025,Secundaria,,Valeria Navarro Herrera
1725419897,LUCÍA QUINTERO PEÑA,39.0,178.0,165.7,M,2089.9,Quito,27/11/2023,Tecnico, lucia.quintero.pena@yahoo.com ,Lucía Quintero Peña
904758638,Nicole  Flores  Arévalo,33.0,174.2,175.8,F,543.33,Guayaquil,"Aug 10, 2024",Universidad,nicole.flores.arevalo@empresa.ec,Nicole  Flores  Arévalo
1017755495, LUIS RODRIGUEZ CEDEÑO ,35.0,165.3,133.4,M,779.33,Ibarra,2024-09-18,Primaria,luis.rodriguez.cedeno@yahoo.com,Luis Rodriguez Cedeño
1347274985001,VANESSA SOLÍS VERA,41.0,172.7,158.7,F,480.0,Manta,2023-09-06,Universidad,,Vanessa Solís Vera
1755795398,Diana  Solís  Rojas,34.0,183.5,181.3,M,560.96,Quito,2023-09-29,Secundaria,diana.solis.rojas@outlook.com,Diana  Solís  Rojas
1730934468001,Mateo Villamar Alvarado,34.0,163.1,113.1,F,856.32,Quito,2023-09-26,Maestria,,Mateo Villamar Alvarado
903960359,Carmen Delgado Castro,39.0,169.6,150.9,M,480.0,Guayaquil,12/11/2023,Secundaria,,Carmen Delgado Castro
610273781,GUSTAVO SALAZAR ROMERO,32.0,157.2,117.1,F,728.36,Riobamba,2024-06-28,Maestria,,Gustavo Salazar Romero
103603882,Paola Ortega Benítez,52.0,177.3,186.0,M,480.0,Cuenca,13/04/2025,Primaria,,Paola Ortega Benítez
935484584,Samuel Valencia Mendoza,33.0,182.7,198.5,M,664.42,Guayaquil,2023-07-27,Universidad,,Samuel Valencia Mendoza
806737755, diego castro arévalo ,37.0,169.5,153.8,F,1623.59,Esmeraldas,01/07/2024,Universidad,DIEGO.CASTRO.AREVALO@HOTMAIL.COM,Diego Castro Arévalo
904366085001,Diego Acosta Reyes,45.0,167.3,145.3,F,480.0,Guayaquil,2024-12-17,Secundaria, diego.acosta.reyes@hotmail.com ,Diego Acosta Reyes
1359458831,FERNANDA MERA ALVARADO,44.0,188.8,181.9,M,480.0,Manta,"Jun 04, 2024",Primaria,,Fernanda Mera Alvarado
1843281815,Juan  Peña  Villacís,33.0,191.9,200.4,F,480.0,Ambato,2024-06-20,Secundaria,juan.pena.villacis@gmail.com,Juan  Peña  Villacís
920248721001,Melanie Silva Villamar,39.0,166.9,166.9,M,599.43,Guayaquil,2023-11-18,Maestria,,Melanie Silva Villamar
1345232225,Elena García López,39.0,167.9,137.1,F,480.0,Portoviejo,28/09/2025,Secundaria,,Elena García López
741778450, Miguel Rodriguez Mendoza ,40.0,171.8,152.9,M,633.62,Machala,2024-09-17,Secundaria,miguel.rodriguez.mendoza@gmail.com,Miguel Rodriguez Mendoza
616772950001,Alejandra Torres Vera,48.0,171.1,154.5,M,480.0,Riobamba,30/03/2025,Universidad,,Alejandra Torres Vera
1343106124001,Andrés  Silva  Arévalo,32.0,172.0,172.6,M,521.1,Manta,2025-09-10,Universidad,andres.silva.arevalo@gmail.com,Andrés  Silva  Arévalo
803198373,Karen  Villamar  Solís,37.0,168.3,158.4,F,930.43,Esmeraldas,2023-04-02,Secundaria,karen.villamar.solis@yahoo.com,Karen  Villamar  Solís
1825624370, Bryan Cornejo Quintero ,37.0,170.6,146.4,F,954.0,Ambato,2026-01-31,Primaria,bryan.cornejo.quintero@hotmail.com,Bryan Cornejo Quintero
1156033134,carla sanchez valencia,35.0,,186.1,M,759.36,Loja,"Jul 28, 2024",Tecnico,,Carla Sanchez Valencia
1729883999,Gustavo Castro Tapia,44.0,160.9,125.3,F,557.04,Quito,09/02/2025,Secundaria,,Gustavo Castro Tapia
1859306753,DANIEL MENDOZA TAPIA,37.0,166.6,161.7,M,1101.95,Ambato,10/05/2024,Universidad,,Daniel Mendoza Tapia
932794746,  Natalia  Acosta  Solís,28.0,174.6,167.6,F,480.0,Guayaquil,2024-08-10,Universidad,.natalia.acosta.solis@outlook.com,Natalia  Acosta  Solís
114562192,TATIANA BENÍTEZ MENDOZA,34.0,165.9,145.7,M,480.0,Cuenca,,Tecnico,tatiana.benitez.mendoza@outlook.com,Tatiana Benítez Mendoza
819840554001,Sebastián Navarro Navarro,42.0,177.8,174.9,M,480.0,Esmeraldas,04/07/2023,Secundaria, sebastian.navarro.navarro@hotmail.com ,Sebastián Navarro Navarro
928953538,juan lópez navarro,32.0,155.7,117.6,F,1146.3,Guayaquil,2024-07-23,Universidad,juan.lopez.navarro@outlook.com,Juan López Navarro
1703958627,Paola  Arévalo  Villacís,44.0,171.2,154.8,F,1146.19,Quito,11/05/2023,Secundaria, paola.arevalo.villacis@yahoo.com ,Paola  Arévalo  Villacís
